CSV Column,AgentBox Field,Required,Notes
First Name,First Name,,Derived from name when first_name blank
Last Name,Last Name / Surname,Yes,AgentBox mandatory; check single-word/couple names
Title,Title,,
Salutation,Salutation,,
Company,Company,,
Job Title,Position,,
Email,Email (primary),,
Email 2,Email (secondary),,Extra addresses from contact_channels
Mobile,Mobile,,
Phone,Phone,,
Home Phone,Home Phone,,
Work Phone,Work Phone,,
Other Phones,Notes / extra phone,,Additional numbers from contact_channels
Street Address,Address - Street,,
Suburb,Address - Suburb,,
City,Address - City,,
State,Address - State,,
Postcode,Address - Postcode,,
Country,Address - Country,,Defaults to Australia
Date of Birth,Date of Birth,,
Suggested Contact Class,Contact Class,,Set in wizard; Vendor/Buyer/Landlord/Tenant/Prospect derived from tags
Source,Contact Source,,
Do Not Email,Subscription / DNC,,Derived from email_opt_out + dnc_email
Do Not SMS,Subscription / DNC,,Derived from sms_opt_out + dnc_sms
Do Not Call,Subscription / DNC,,Derived from do_not_contact + dnc_phone
Client Ref,Client Reference,,
Notes,Notes / Comments,,Profile narrative + cleaned activity history
Source Tags (raw),—,,Reference only; map to custom classes or ignore
Contact Type (raw),—,,Reference only
Lead Status (raw),—,,Reference only
Lead Temperature (raw),—,,Reference only
Rating (raw),—,,Reference only
DataDungeon ID (do not import),—,,Internal key; leave unmapped
Existing AgentBox ID,Match key,,Only where a prior sync existed
Created,—,,Reference only
suspected_test_record,—,,Sort & delete TRUE rows before import
